SampleGroup,ShannonExp
Field10,41.25585315
Field10,81.27810145
Field10,86.38733567
Field10,75.66834556
Field2,82.77546862
Field2,56.26903294
Field2,67.33414821
Field2,90.65929817
Acacia mangiumO,77.47158517
Acacia mangiumO,99.33163717
Acacia mangiumO,54.52580086
Mahogany (Swietenia macrophylla),53.14624298
Mahogany (Swietenia macrophylla),54.55307451
Narra (Pterocarpus indicus),59.82532552
Narra (Pterocarpus indicus),35.96276408
Narra (Pterocarpus indicus),68.4921261
Saccharum spp.,70.22183596
Saccharum spp.,78.9292546
Saccharum spp.,40.18458284
Coccus nucifera,68.33078645
Coccus nucifera,61.79511316
Coccus nucifera,97.2447659
Imperata cylindrica,32.43809968
Imperata cylindrica,29.60605432
Imperata cylindrica,48.46325627
Acacia mangiumY,25.29582327
Acacia mangiumY,95.71986002
Acacia mangiumY,73.1202721
